Wall time,Step,Value
1720722950.674127,432,0.006932807620614767
1720722955.3395858,456,0.013696965761482716
1720723145.855084,664,0.02136012353003025
1720723172.2112424,848,0.01051405631005764
1720723256.6466184,1432,0.005253375507891178
1720723330.108281,1928,0.0034853825345635414
1720723335.955774,1968,0.004715550225228071
1720723360.625071,2136,0.0037061828188598156
1720723381.4367619,2280,0.00888192467391491
1720723422.0860417,2560,0.0048870788887143135
1720723425.4906206,2576,0.004977120552212
1720723434.6548648,2640,0.003653714433312416
1720723613.7719688,3888,0.0032239563297480345
1720723684.8611443,4384,0.002742466516792774
1720723735.6771126,4728,0.0025126535911113024
1720723743.9822044,4784,0.0027595562860369682
1720723804.553274,5168,0.0016813413240015507
1720723819.6661139,5272,0.0026228902861475945
1720723848.2796063,5464,0.002902332926169038
1720723906.27289,5808,0.0025301703717559576
1720723915.7597818,5872,0.0019911613781005144
1720723989.674302,6376,0.0028728574980050325
1720724009.4030344,6512,0.00271526793949306
1720724016.3561692,6560,0.0021969759836792946
1720724050.0236833,6784,0.0024127408396452665
1720724211.406585,7864,0.0016524528618901968
1720724264.1895723,8208,0.001708243158645928
1720724329.3772101,8624,0.0028105853125452995
1720724376.1800418,8928,0.00209573726169765
1720724470.0429134,9536,0.003061397233977914
1720724569.9643738,10184,0.0025495332665741444
1720724639.8791766,10624,0.0019316760590299964
1720724643.6160395,10648,0.002475103596225381
1720724660.8821802,10760,0.0022395628038793802
1720724665.809424,10792,0.002263459376990795
1720724724.4045901,11176,0.0024949561338871717
1720724733.033125,11232,0.0019260885892435908
1720724786.5624855,11584,0.002624634886160493
1720724823.4975321,11824,0.0026253771502524614
1720724889.6244447,12280,0.002450038446113467
1720724925.0027394,12512,0.0031273476779460907
1720724944.7261457,12640,0.0031360923312604427
1720724964.3956835,12768,0.002011093543842435
1720725096.818944,13624,0.0029514168854802847
1720725130.3064063,13840,0.0023909658193588257
1720725150.235918,13968,0.0017471513710916042
1720725153.929854,13992,0.0032485141418874264
1720725208.1738682,14344,0.0023416948970407248
1720725287.119964,14848,0.0033127982169389725
1720725314.3101003,15024,0.00403242465108633
1720725327.8501697,15112,0.0030865271110087633
1720725377.1262023,15432,0.001806761953048408
1720725398.0641654,15568,0.0023361986968666315
1720725414.107602,15672,0.002359515754505992
1720725523.7891858,16384,0.0022209498565644026
1720725596.529035,16864,0.0035872182343155146
1720725709.888875,17592,0.002923000371083617
1720725724.6638193,17688,0.0027060590218752623
1720725764.1278887,17944,0.0017601721920073032
1720725771.5238295,17992,0.0025404358748346567
1720725802.456011,18192,0.002008350333198905
1720725859.4561028,18552,0.002416935982182622
1720725960.7133765,19208,0.002318968763574958
1720726018.6350963,19584,0.0017401787918061018
1720726039.5670803,19720,0.002556462772190571
1720726042.0294771,19736,0.0027197934687137604
